477639100,9542879,5
353666000,9230488,1034
311541000,9000699,199
636091203,9423542,121
235089436,9198953,6034
215209000,9205940,101
311000392,9734692,1145
353502000,8611221,351
440252000,9128128,1
304627000,9192650,503
215893000,9333668,597
304855000,9266542,158
354013000,9713466,1087
305594000,9381407,755
244806000,8431633,6012
305366000,9484194,140
477173800,8821955,384
212159568,9156993,1
371693000,9403841,3
373905000,9109079,600
620042000,7525592,1231
303150000,9530010,56
308773000,9172727,246
248888000,9295452,2165
636091434,9344667,367
319062200,9330795,975
538070946,1002225,574
219127000,9299458,153
312949000,8891376,278
376924000,9630080,5
311000167,9286281,114
259036000,9529920,4476
563176000,9548823,964
565616000,9365673,8
249399000,9333462,930
248724000,9564140,1536
311000395,9726217,3528
372592000,9580273,1544
310669000,9634086,321
247183000,9148881,83
310505000,9187899,268
431401899,9257620,11
636013175,9424015,1
236643000,9237010,1
636015455,9539248,128
249691000,1009948,21
563400000,9116589,12
352858000,9708746,110
366816410,8967498,46
538006010,9681156,530
273373000,8866010,6
211629290,8714243,77
228283600,9422184,2913
367325130,9097628,17900
225397000,9423853,51
311000169,9674646,8
477319300,9484376,26
477547300,9387920,293
636015456,9000194,63
636091437,9435521,133
636015228,9542283,49
636091665,9491599,3052
355649000,9247584,1314
311016000,9352145,6276
636012730,9300996,1944
355713000,9444039,205
538006240,9698977,67
235082384,9503483,360
636015457,9459709,1703
477634100,9509528,120
212641000,9246566,770
277291000,8917390,3
368305000,9273674,14
538006012,9705328,420
304786000,9015046,1122
636091895,9419797,192
218319000,9516686,5284
257329000,9254654,2308
224072840,6520105,4179
244509000,8433459,1346
636012731,9301005,937
244737000,5019056,6878
215432000,8820107,196
357351000,9204348,291
636091896,9419785,1852
244801000,9006019,431
357123000,9341794,15
305361000,9435856,2834
308248000,9337987,20
211626110,9183075,48
538004190,9570008,1864
245476000,9152636,4081
271000973,9458250,36
219017864,9169483,85
563495000,9081801,66
431006342,9746334,9
230212000,5422203,142
256080000,9346756,140
371004000,9478925,687
373900000,9633288,35
246375000,9342102,8327
271044294,9306445,1041
248427000,9278923,682
374411000,9167083,2
338128000,9464302,14
431006343,9774214,5
271000747,9293416,974
271044295,9306421,99
249166000,9396373,704
311042600,9422665,8589
477117900,9645891,372
352789000,9433602,595
431300622,9032214,12
249002000,9765043,2002
367440810,9585223,13
237562900,8977962,4
566350000,9533323,96
636012507,9298961,1139
352853000,9606302,1076
237357700,8969094,30
310500000,9293399,472
239981000,8976671,9
271044068,9679880,144
271000748,9293428,550
367395280,9202352,3
515031000,8631491,3
704643072,8742238,133
477770300,9352030,2
212344000,9181118,3539
229952000,9729544,673
636012508,9298973,2569
538006474,9747390,75
353592000,9588093,18
271000749,9280122,118
228050600,9492579,31
211269580,8332320,6
367503980,9506722,2767
636010457,9074638,2
356771000,9597642,1
367461560,8981365,316
259928000,9143219,1245
232000790,8902278,10353
235000500,9211987,1023
538006247,9217656,217
244790871,9652399,7543
215135000,9374014,4740
244668000,8431451,119
366811640,8967527,6
538003520,9402110,4188
564739000,9439826,3112
564967000,9182942,4393
370424000,8829294,159
538006248,9554145,200
245179000,9612636,7539
235766000,9249518,3160
308015000,9321249,584
538005802,9697210,3171
245015000,9240744,3308
366836950,7210496,142
245471000,9503536,4862
564803000,9444273,2152
220502000,9323819,4840
367594190,9665504,16
236277000,9173161,1320
233322000,8806058,10428
372290000,9325788,464
248422000,9312640,399
538003523,9332638,20
246370000,6618823,2620
431001342,9575125,8
565770000,9360465,1858
576082000,8901585,1299
538005803,9697222,688
214181501,7208106,66
366805350,7507368,38
244790875,9688867,225
271043855,8506945,1569
367884000,8835475,1362
367662750,8842399,272
273115700,8904379,216
367371810,1212428,11168
538004199,9518907,6025
265874000,8618358,706
431501815,9333096,6
352328000,9288239,1714
538005804,9697234,1082
229655000,9450387,1350
353295000,9262704,189
303517000,9551636,302
377901020,9661194,1
352620000,9610248,24
211507500,9578127,7522
311009500,8804555,884
355575000,9675729,2544
240745000,9248734,1
538003525,9486178,440
240517000,9348479,208
212275000,9426879,2
247240500,8968404,2
247286100,9458523,656
368395000,9331593,183
244599000,8811924,1087
355411000,9457452,595
431001117,9560431,3
304256000,9145126,719
366744920,9173501,83
235109046,9770490,947
237029100,8969147,92
538003526,9402483,59
256516000,9277319,599
356018000,9545716,7
214181504,7422049,56
212111000,9384459,1014
431501818,9341017,23
231843000,9263564,810
477942400,9591507,18
377901022,7610024,211
477737200,9737565,389
304320000,8937352,170
244207000,8647141,1109
373990000,7505217,787
373306000,9109964,114
538003984,9418004,70
373534000,9640059,1115
211290720,8912211,10
220597000,9359040,367
538003756,9556181,77
477824000,9218387,172
351976000,9134701,180
245010000,9344435,2438
377901024,9510046,55
248581000,9506564,5
376553000,8921470,2123
565473000,9215919,1322
351748000,8503840,33
367593750,9483815,25
236272000,9248552,4804
538003758,9478614,2169
224123820,7004457,126
352487000,9440930,159
671659000,7041053,10
477271900,9685322,6
477066700,9713337,4
354767000,9300908,203
377901025,7046091,1
548918000,9652571,47
305956000,9647318,534
354831000,8402589,22
250002443,9527685,1739
265413000,9087362,2866
368098000,7915838,24
211214970,8601989,11320
477699800,9720316,1
255801550,9131943,5916
371827000,9326093,25
256675000,9498262,277
256219000,9702613,210
247281100,9437907,569
377901027,7507875,24
269039000,9542831,1974
235110567,9766413,3051
311027300,9588299,528
256447000,9412361,241
245907000,9060699,15171
219945000,8701674,1
477786600,9474199,19
241347000,9481283,45
229422000,9559286,2
538003988,9401166,1687
370058000,9442926,1226
231774000,7922166,264
238332440,5131220,11
538070721,1010557,952
244366000,9401257,772
218176000,8905115,349
304251000,9228617,2069
215061000,9431018,1546
636015000,9494682,615
205584000,1009182,74
616999191,9137234,97
372726000,7821506,140
373465000,9539444,2267
367510030,9373759,3276
370350000,9616060,1
375745000,8703270,492
244430000,9196278,10387
201100086,7607467,174
366939820,7908158,4
373009000,9514212,117
373237000,8922278,362
518969000,8301620,104
431401218,9030618,1
512003817,8729676,171
538070951,9645671,44
220364000,9311878,27
235087392,9419735,553
636015002,9472103,215
374040000,9353022,150
215958000,9301287,466
677022500,7405091,195
366709770,7808140,6561
367108890,6408993,12
248120000,9546057,1603
369958000,8892033,1
667022000,8943404,367
636015231,9598086,71
63609237,9313228,1
636015004,9511167,4346
250016000,9291729,2970
235090733,9640774,2
226334000,7912745,88
354306000,9402249,478
357649000,9590929,1743
305887000,9139323,84
257919000,9656747,398
367469290,9579896,7235
352254000,9312406,881
305659000,9425162,708
