((235050032,2407534),(List((BEV,2407530,2407534)),List((4.904556751251221,53.440765380859375,10.899999618530273,2015-10-10 23:44:07.183))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.9068498611450195,53.44139862060547,10.899999618530273,2015-10-10 23:44:37.010))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.907618522644043,53.44160842895508,10.899999618530273,2015-10-10 23:44:47.095))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.909146785736084,53.44203186035156,10.899999618530273,2015-10-10 23:45:07.171))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.911436557769775,53.44266128540039,10.899999618530273,2015-10-10 23:45:37.024))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.912198543548584,53.442874908447266,10.899999618530273,2015-10-10 23:45:47.103))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.913650035858154,53.44327163696289,10.800000190734863,2015-10-10 23:46:05.969))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.91441011428833,53.4434814453125,10.800000190734863,2015-10-10 23:46:16.252))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.916013240814209,53.44391632080078,10.800000190734863,2015-10-10 23:46:36.865))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.916776657104492,53.44412612915039,10.800000190734863,2015-10-10 23:46:47.088))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.918991565704346,53.444732666015625,10.899999618530273,2015-10-10 23:47:16.383))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.919676780700684,53.44492721557617,10.899999618530273,2015-10-10 23:47:25.460))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.920588493347168,53.4451789855957,10.800000190734863,2015-10-10 23:47:36.851))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.921351432800293,53.44539260864258,10.899999618530273,2015-10-10 23:47:47.123))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.922800064086914,53.44579315185547,10.899999618530273,2015-10-10 23:48:05.968))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.9235615730285645,53.446006774902344,10.800000190734863,2015-10-10 23:48:16.383))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.924246788024902,53.44619369506836,10.800000190734863,2015-10-10 23:48:25.463))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.925159931182861,53.44644546508789,10.899999618530273,2015-10-10 23:48:36.864))))
((235050032,2407534),(List((BEV,2407530,2407534)),List((4.927361488342285,53.44706726074219,10.800000190734863,2015-10-10 23:49:05.985))))
