BEV,BEV,275468000,30
SEA,BEV,256256000,2
BEV,SEA,236111827,2
AMS,AMS,477547200,433
AMS,AMS,245455000,414
BEV,BEV,215724000,14
AMS,AMS,245834000,454
AMS,SEA,304625000,31
BEV,BEV,255805776,18
AMS,AMS,564242000,705
AMS,AMS,304625000,465
SEA,BEV,246798000,1
SEA,AMS,244810593,4
BEV,BEV,231355000,17
BEV,BEV,341599000,27
SEA,AMS,236112059,9
SEA,BEV,636015205,3
AMS,AMS,357028000,473
SEA,AMS,247604000,2
AMS,AMS,319002500,29
BEV,SEA,250001723,2
SEA,BEV,309807000,1
BEV,BEV,375203000,4
BEV,SEA,341599000,1
BEV,SEA,256149000,1
AMS,SEA,245859000,5
AMS,AMS,245147000,485
AMS,AMS,245354000,826
BEV,SEA,246873000,3
AMS,SEA,319002500,4
BEV,BEV,205489000,29
SEA,BEV,304010859,1
AMS,SEA,352104000,3
AMS,SEA,245834000,4
AMS,SEA,477652600,5
BEV,SEA,255805776,1
SEA,AMS,244041000,6
AMS,SEA,236111791,2
SEA,AMS,564242000,39
AMS,AMS,244670062,415
SEA,BEV,248811000,1
AMS,AMS,246115000,175
SEA,BEV,304070935,1
BEV,SEA,244810690,1
BEV,BEV,304347000,40
AMS,SEA,244820404,32
SEA,AMS,235060251,4
AMS,AMS,245859000,419
SEA,BEV,538001652,1
BEV,SEA,354776000,1
BEV,BEV,309807000,32
AMS,AMS,249005000,1317
SEA,BEV,376121000,1
AMS,SEA,235103762,2
SEA,AMS,352104000,2
SEA,AMS,374846000,4
SEA,AMS,244227000,1
BEV,BEV,250001723,31
AMS,AMS,477820000,160
SEA,BEV,245147000,1
BEV,SEA,538001652,1
SEA,AMS,244710882,1
BEV,BEV,256149000,1
BEV,BEV,256256000,20
SEA,AMS,477652600,5
SEA,BEV,255805776,1
BEV,BEV,246067000,26
AMS,AMS,238251000,156
AMS,SEA,249145000,11
AMS,AMS,246786000,134
BEV,BEV,245882000,31
AMS,SEA,238251000,3
SEA,AMS,244805000,1
AMS,AMS,564368000,464
AMS,AMS,374846000,205
BEV,BEV,230015000,44
BEV,SEA,211627970,2
BEV,SEA,248811000,1
SEA,AMS,248127000,3
AMS,SEA,271000835,7
BEV,SEA,205489000,2
AMS,AMS,244620981,40
AMS,AMS,271000835,444
SEA,AMS,244952000,2
BEV,BEV,432824000,20
SEA,BEV,304352000,1
BEV,SEA,304352000,1
BEV,SEA,636091910,1
SEA,BEV,277530000,1
AMS,SEA,244805000,1
BEV,SEA,319570000,1
BEV,BEV,246798000,31
BEV,SEA,304726000,1
BEV,SEA,304070935,1
AMS,SEA,244620981,4
SEA,AMS,314319000,3
BEV,BEV,432810000,21
SEA,BEV,432824000,1
BEV,SEA,636015205,3
AMS,SEA,244810593,3
AMS,SEA,304783000,26
AMS,AMS,246683000,1350
SEA,AMS,249145000,11
SEA,AMS,244699000,3
SEA,AMS,245147000,19
AMS,SEA,235070031,1
SEA,BEV,218474000,2
BEV,SEA,369233000,1
SEA,BEV,249837000,1
AMS,AMS,236111791,514
SEA,AMS,477700600,2
SEA,AMS,273334240,1
SEA,AMS,246115000,6
BEV,BEV,304352000,14
SEA,AMS,245455000,6
AMS,SEA,564368000,1
AMS,SEA,374145000,2
AMS,SEA,244670062,5
BEV,SEA,245147000,1
BEV,BEV,246873000,27
BEV,SEA,235066012,1
SEA,AMS,249005000,57
SEA,BEV,205489000,2
BEV,SEA,477791900,1
AMS,SEA,246683000,34
BEV,BEV,235066012,19
SEA,BEV,275468000,1
AMS,SEA,232002165,36
SEA,AMS,245834000,3
BEV,BEV,319570000,21
SEA,BEV,372744000,1
SEA,AMS,236407000,1
AMS,SEA,236407000,2
BEV,SEA,228335900,1
SEA,AMS,564368000,1
AMS,SEA,245044000,3
SEA,BEV,341599000,1
SEA,AMS,357028000,3
SEA,AMS,235007440,15
BEV,BEV,304158000,8
AMS,SEA,374846000,5
AMS,AMS,245675000,592
SEA,AMS,271000835,7
AMS,AMS,248370000,242
BEV,BEV,538001652,2
AMS,AMS,352104000,110
AMS,SEA,246115000,5
AMS,AMS,244952000,383
SEA,AMS,235070031,1
BEV,BEV,277530000,44
BEV,SEA,246798000,1
BEV,SEA,256256000,2
SEA,BEV,246067000,2
AMS,AMS,374145000,473
AMS,AMS,244699000,62
BEV,BEV,636015205,22
AMS,SEA,244041000,5
SEA,AMS,245443000,1
BEV,BEV,209562000,24
SEA,AMS,244538000,4
AMS,SEA,311059100,4
SEA,AMS,477547200,1
SEA,AMS,232002165,37
BEV,BEV,376121000,1
AMS,AMS,308918000,275
SEA,BEV,236111827,2
SEA,AMS,244620981,4
SEA,AMS,245675000,18
BEV,SEA,245825000,1
SEA,AMS,304625000,31
AMS,AMS,236112059,1066
SEA,AMS,236111791,2
BEV,SEA,211822000,1
SEA,BEV,304347000,1
SEA,BEV,432810000,2
BEV,SEA,432810000,2
BEV,SEA,230015000,2
AMS,SEA,244227000,1
AMS,SEA,236597000,10
AMS,AMS,244041000,325
SEA,AMS,248370000,9
BEV,BEV,236111827,22
BEV,BEV,305188000,28
AMS,SEA,236112059,8
SEA,AMS,244190000,19
BEV,SEA,304010859,1
AMS,AMS,636015430,475
AMS,AMS,244190000,1387
AMS,SEA,477700600,3
AMS,AMS,235007440,883
AMS,SEA,247604000,2
AMS,AMS,304783000,859
SEA,BEV,305188000,2
SEA,BEV,375203000,1
AMS,SEA,273334240,1
AMS,SEA,246786000,4
BEV,SEA,255801560,1
BEV,SEA,304158000,1
AMS,SEA,244538000,4
BEV,SEA,277530000,1
SEA,BEV,209562000,1
AMS,SEA,244190000,19
AMS,AMS,477652600,462
SEA,AMS,538005815,3
SEA,BEV,304001000,1
AMS,SEA,636015430,2
SEA,AMS,244670062,6
BEV,SEA,231355000,1
AMS,SEA,564242000,39
BEV,SEA,304347000,1
AMS,AMS,235103762,423
BEV,BEV,369233000,22
SEA,BEV,215724000,1
BEV,SEA,212882000,1
AMS,AMS,311059100,460
SEA,AMS,319002500,4
AMS,SEA,245455000,5
SEA,AMS,246683000,34
AMS,SEA,245443000,1
SEA,AMS,245354000,26
BEV,BEV,255801560,21
SEA,AMS,245859000,4
AMS,SEA,249005000,57
AMS,SEA,245675000,19
SEA,AMS,244820404,32
SEA,BEV,246873000,3
AMS,AMS,314319000,218
AMS,AMS,247604000,234
SEA,AMS,238251000,4
BEV,SEA,245882000,2
BEV,SEA,218474000,2
BEV,SEA,246067000,2
SEA,AMS,311059100,4
SEA,BEV,319570000,1
SEA,BEV,636091910,1
BEV,BEV,636091910,12
AMS,AMS,248127000,105
AMS,AMS,232002165,573
AMS,SEA,244952000,3
SEA,BEV,230015000,2
SEA,AMS,374145000,2
AMS,AMS,538005815,280
AMS,AMS,236407000,91
BEV,BEV,477791900,15
AMS,AMS,244820404,1343
SEA,BEV,256149000,1
BEV,SEA,249837000,1
AMS,SEA,304036000,6
AMS,SEA,245147000,20
AMS,SEA,235060251,5
SEA,BEV,245825000,1
BEV,BEV,304010859,39
BEV,BEV,212882000,25
SEA,BEV,245882000,2
SEA,BEV,211627970,2
BEV,BEV,354776000,15
SEA,AMS,308918000,2
BEV,BEV,304726000,22
AMS,AMS,249145000,537
SEA,BEV,369233000,1
AMS,SEA,477820000,6
BEV,SEA,376121000,1
AMS,SEA,235007440,15
AMS,SEA,538005815,2
AMS,SEA,244699000,3
BEV,BEV,248811000,25
AMS,SEA,245354000,27
SEA,BEV,212882000,1
AMS,AMS,235070031,287
