(211270850,SEA,SEA),90
(235097474,SEA,SEA),1
(275402000,SEA,SEA),143
(538003037,SEA,SEA),143
(305300000,SEA,SEA),21
(419094500,SEA,SEA),141
(355166000,SEA,SEA),8
(232003081,SEA,SEA),143
(538005405,SEA,SEA),1
(311601000,SEA,SEA),128
(235069271,SEA,SEA),39
(235090733,SEA,SEA),4
(245706000,SEA,SEA),4
(246085000,SEA,SEA),131
(219613000,SEA,SEA),139
(477014800,SEA,SEA),113
(235108471,SEA,SEA),143
(477881600,SEA,SEA),129
(244562000,SEA,SEA),114
(235089619,SEA,SEA),117
(240564000,SEA,SEA),30
(237453600,SEA,SEA),16
(245127000,SEA,SEA),126
(636015123,SEA,SEA),143
(229410000,SEA,SEA),101
(305857000,SEA,SEA),22
(355153000,SEA,SEA),41
(305459000,SEA,SEA),143
(311040500,SEA,SEA),13
(215047000,SEA,SEA),143
(353850000,SEA,SEA),27
(240266000,SEA,SEA),122
(211222710,SEA,SEA),143
(538004314,SEA,SEA),143
(372843000,SEA,SEA),143
(566085000,SEA,SEA),31
(247088200,SEA,SEA),69
(245718000,SEA,SEA),143
(257385000,SEA,SEA),143
(205665000,SEA,SEA),143
(538004142,SEA,SEA),18
(538003321,SEA,SEA),51
(477007300,SEA,SEA),31
(367186040,SEA,SEA),86
(319030200,SEA,SEA),121
(370957000,SEA,SEA),136
(246172000,SEA,SEA),143
(205283000,SEA,SEA),35
(248052000,SEA,SEA),29
(227006750,SEA,SEA),36
(305866000,SEA,SEA),43
(234270000,SEA,SEA),143
(577011000,SEA,SEA),143
(538005625,SEA,SEA),108
(249491000,SEA,SEA),143
(246338000,SEA,SEA),114
(477942400,SEA,SEA),121
(246762000,SEA,SEA),136
(215234000,SEA,SEA),26
(229276000,SEA,SEA),92
(355507000,SEA,SEA),128
(240537000,SEA,SEA),16
(211149000,SEA,SEA),99
(355924000,SEA,SEA),50
(256755000,SEA,SEA),7
(413173000,SEA,SEA),60
(256661000,SEA,SEA),18
(371172000,SEA,SEA),143
(265735000,SEA,SEA),119
(352466000,SEA,SEA),6
(225329000,SEA,SEA),143
(373478000,SEA,SEA),43
(211228200,SEA,SEA),135
(245604000,BEV,BEV),2
(247335400,SEA,SEA),20
(235102583,SEA,SEA),45
(368685000,SEA,SEA),27
(367176630,SEA,SEA),99
(218781000,SEA,SEA),53
(235008929,SEA,SEA),15
(249425000,SEA,SEA),118
(235080906,SEA,SEA),100
(247163500,SEA,SEA),26
(305578000,SEA,SEA),143
(538004913,SEA,SEA),53
(565039000,SEA,SEA),85
(636016361,SEA,SEA),69
(271000952,SEA,SEA),27
(229490000,SEA,SEA),7
(247241900,SEA,SEA),93
(636017145,SEA,SEA),57
(538070946,SEA,SEA),1
(247315400,SEA,SEA),122
(239297000,SEA,SEA),125
(255805658,SEA,SEA),28
(538005283,SEA,SEA),1
(236559000,SEA,SEA),86
(235102681,SEA,SEA),48
(354254000,SEA,SEA),63
(240435000,SEA,SEA),124
(236111951,SEA,SEA),48
(577179000,SEA,SEA),90
(367498680,SEA,SEA),72
(538003515,SEA,SEA),45
(309362000,SEA,SEA),9
(228320900,SEA,SEA),143
(257555000,SEA,SEA),143
(244990000,SEA,SEA),113
(304010685,SEA,SEA),60
(257032500,SEA,SEA),2
(636012522,SEA,SEA),49
(431500789,SEA,SEA),86
(431001052,SEA,SEA),39
(246481000,SEA,SEA),138
(235079807,SEA,SEA),138
(228084000,SEA,SEA),44
(240788000,SEA,SEA),141
(636012813,SEA,SEA),116
(304726000,SEA,SEA),93
(356447000,SEA,SEA),10
