BEV,BEV,275468000,2
SEA,BEV,256256000,1
BEV,SEA,236111827,1
AMS,AMS,477547200,140
AMS,AMS,245455000,35
BEV,BEV,215724000,1
AMS,AMS,245834000,128
AMS,SEA,304625000,12
BEV,BEV,255805776,1
AMS,AMS,564242000,36
AMS,AMS,304625000,36
SEA,BEV,246798000,1
SEA,AMS,244810593,3
BEV,BEV,341599000,2
SEA,AMS,236112059,8
SEA,BEV,636015205,1
AMS,AMS,357028000,137
SEA,AMS,247604000,2
AMS,AMS,319002500,1
BEV,SEA,250001723,2
SEA,BEV,309807000,1
BEV,SEA,341599000,1
BEV,BEV,375203000,3
AMS,SEA,245859000,5
AMS,AMS,245147000,37
AMS,AMS,245354000,46
BEV,SEA,246873000,1
AMS,SEA,319002500,1
BEV,BEV,205489000,1
SEA,BEV,304010859,1
AMS,SEA,352104000,3
AMS,SEA,245834000,4
AMS,SEA,477652600,5
BEV,SEA,255805776,1
SEA,AMS,244041000,5
AMS,SEA,236111791,1
SEA,AMS,564242000,18
AMS,AMS,244670062,35
SEA,BEV,248811000,1
AMS,AMS,246115000,21
SEA,BEV,304070935,1
BEV,SEA,244810690,1
BEV,BEV,304347000,3
AMS,SEA,244820404,21
SEA,AMS,235060251,3
AMS,AMS,245859000,134
SEA,BEV,538001652,1
BEV,SEA,354776000,1
BEV,BEV,309807000,2
AMS,AMS,249005000,70
SEA,BEV,376121000,1
AMS,SEA,235103762,1
SEA,AMS,352104000,2
SEA,AMS,374846000,3
SEA,AMS,244227000,1
BEV,BEV,250001723,1
AMS,AMS,477820000,23
SEA,BEV,245147000,1
IJM,SEA,246786000,1
SEA,AMS,244710882,1
BEV,SEA,538001652,1
SEA,AMS,477652600,5
SEA,BEV,255805776,1
BEV,BEV,246067000,1
AMS,SEA,249145000,7
AMS,AMS,238251000,31
AMS,AMS,246786000,25
BEV,BEV,245882000,2
AMS,SEA,238251000,2
AMS,AMS,564368000,141
AMS,AMS,374846000,53
BEV,BEV,230015000,2
BEV,SEA,211627970,1
BEV,SEA,248811000,1
SEA,AMS,248127000,3
AMS,SEA,271000835,7
BEV,SEA,205489000,2
IJM,AMS,246683000,1
IJM,SEA,249005000,1
AMS,AMS,271000835,129
SEA,AMS,244952000,2
BEV,BEV,432824000,1
SEA,BEV,304352000,1
BEV,SEA,304352000,1
BEV,SEA,636091910,1
AMS,IJM,249005000,1
SEA,BEV,277530000,1
SEA,BEV,249005000,1
SEA,AMS,244905000,1
BEV,SEA,319570000,1
BEV,BEV,246798000,3
BEV,SEA,304726000,1
BEV,SEA,304070935,1
AMS,SEA,244620981,2
SEA,AMS,314319000,3
BEV,BEV,432810000,1
SEA,BEV,432824000,1
BEV,SEA,636015205,1
AMS,SEA,244810593,2
BEV,SEA,305729000,1
AMS,SEA,304783000,16
AMS,AMS,246683000,100
SEA,AMS,249145000,8
SEA,AMS,244699000,3
SEA,AMS,245147000,7
AMS,SEA,235070031,1
SEA,BEV,218474000,1
BEV,SEA,369233000,1
SEA,BEV,249837000,1
AMS,AMS,236111791,141
SEA,AMS,477700600,2
SEA,AMS,273334240,1
SEA,AMS,246115000,5
BEV,BEV,304352000,2
SEA,AMS,245455000,4
AMS,SEA,564368000,1
AMS,SEA,374145000,2
AMS,SEA,244670062,4
BEV,SEA,245147000,1
SEA,AMS,249005000,25
BEV,SEA,235066012,1
SEA,BEV,205489000,2
BEV,SEA,477791900,1
AMS,SEA,246683000,18
BEV,BEV,235066012,1
SEA,BEV,275468000,1
AMS,SEA,232002165,15
BEV,AMS,249005000,1
SEA,AMS,245834000,3
BEV,BEV,319570000,1
SEA,BEV,372744000,1
AMS,SEA,236407000,1
BEV,SEA,228335900,1
SEA,AMS,357028000,3
AMS,SEA,245044000,2
SEA,AMS,564368000,1
SEA,BEV,341599000,1
SEA,AMS,235007440,10
AMS,SEA,374846000,4
AMS,AMS,245675000,34
SEA,AMS,271000835,7
AMS,AMS,248370000,64
AMS,AMS,352104000,11
AMS,SEA,246115000,4
AMS,AMS,244952000,124
SEA,AMS,235070031,1
BEV,BEV,277530000,4
BEV,SEA,246798000,1
BEV,SEA,256256000,1
SEA,BEV,246067000,1
AMS,AMS,374145000,139
AMS,AMS,244699000,1
AMS,SEA,244041000,4
BEV,BEV,209562000,2
SEA,AMS,244538000,4
AMS,SEA,311059100,4
SEA,AMS,477547200,1
SEA,AMS,232002165,15
BEV,BEV,376121000,1
AMS,AMS,308918000,72
SEA,BEV,236111827,1
SEA,AMS,244620981,2
SEA,AMS,245675000,13
BEV,SEA,245825000,1
SEA,AMS,304625000,12
AMS,AMS,236112059,97
SEA,AMS,236111791,1
BEV,SEA,211822000,1
SEA,BEV,304347000,1
SEA,BEV,432810000,1
BEV,SEA,432810000,1
BEV,SEA,230015000,1
AMS,SEA,244227000,1
AMS,SEA,236597000,8
AMS,AMS,244041000,24
AMS,SEA,244905000,1
SEA,AMS,248370000,6
BEV,BEV,236111827,2
BEV,BEV,305188000,2
AMS,SEA,236112059,7
SEA,AMS,244190000,14
BEV,SEA,304010859,1
AMS,AMS,636015430,139
AMS,AMS,244190000,114
AMS,SEA,477700600,3
AMS,AMS,235007440,118
AMS,SEA,247604000,2
AMS,AMS,304783000,101
SEA,BEV,305188000,1
AMS,SEA,273334240,1
SEA,BEV,375203000,1
AMS,SEA,246786000,1
BEV,SEA,255801560,1
BEV,SEA,304158000,1
AMS,SEA,244538000,4
BEV,SEA,277530000,1
SEA,BEV,209562000,1
AMS,SEA,244190000,14
AMS,AMS,477652600,133
SEA,AMS,538005815,3
SEA,BEV,304001000,1
AMS,SEA,636015430,2
SEA,AMS,244670062,5
BEV,SEA,231355000,1
AMS,SEA,564242000,17
BEV,SEA,304347000,1
AMS,AMS,235103762,108
BEV,BEV,369233000,1
SEA,BEV,215724000,1
BEV,SEA,212882000,1
AMS,AMS,311059100,135
AMS,SEA,245207000,1
SEA,AMS,319002500,1
AMS,SEA,245455000,3
SEA,AMS,246683000,18
SEA,AMS,245354000,18
BEV,BEV,255801560,1
SEA,AMS,245859000,4
AMS,SEA,249005000,24
AMS,SEA,245675000,14
SEA,AMS,244820404,20
SEA,BEV,246873000,1
AMS,AMS,314319000,53
AMS,AMS,247604000,121
SEA,AMS,238251000,3
BEV,SEA,245882000,1
BEV,SEA,218474000,1
BEV,SEA,246067000,1
SEA,AMS,311059100,4
SEA,BEV,319570000,1
SEA,BEV,636091910,1
BEV,BEV,636091910,1
AMS,AMS,248127000,21
AMS,AMS,232002165,19
AMS,SEA,244952000,3
SEA,BEV,230015000,1
SEA,AMS,374145000,2
AMS,AMS,538005815,88
AMS,AMS,236407000,25
AMS,AMS,244820404,94
BEV,SEA,249837000,1
AMS,SEA,304036000,3
AMS,SEA,245147000,8
BEV,SEA,245384000,1
AMS,SEA,235060251,4
SEA,BEV,245384000,1
SEA,BEV,245825000,1
BEV,BEV,304010859,3
BEV,BEV,212882000,1
SEA,BEV,245882000,1
SEA,BEV,211627970,1
SEA,AMS,308918000,2
BEV,BEV,304726000,2
AMS,IJM,246786000,1
AMS,AMS,249145000,127
SEA,BEV,369233000,1
AMS,SEA,477820000,2
BEV,SEA,376121000,1
AMS,SEA,235007440,10
SEA,BEV,305729000,1
AMS,SEA,538005815,2
AMS,SEA,244699000,3
BEV,BEV,248811000,1
SEA,AMS,245207000,1
SEA,BEV,212882000,1
AMS,SEA,245354000,18
AMS,AMS,235070031,134
AMS,SEA,314319000,2
SEA,BEV,477791900,1
BEV,BEV,245147000,2
SEA,BEV,255801560,1
AMS,AMS,245044000,14
SEA,BEV,231355000,1
SEA,AMS,304783000,15
AMS,AMS,244538000,135
AMS,AMS,477700600,83
BEV,BEV,245825000,3
BEV,BEV,372744000,1
SEA,AMS,636015430,2
SEA,BEV,235066012,1
BEV,BEV,218474000,1
AMS,SEA,248127000,2
AMS,AMS,244137000,143
BEV,BEV,249837000,1
BEV,BEV,304070935,2
BEV,SEA,432824000,1
SEA,AMS,477820000,3
AMS,AMS,244227000,141
SEA,BEV,250001723,2
SEA,BEV,304726000,1
AMS,AMS,235060251,134
SEA,BEV,354776000,1
AMS,SEA,357028000,3
SEA,BEV,211822000,1
BEV,SEA,372744000,1
SEA,BEV,244810690,1
SEA,AMS,245044000,3
AMS,AMS,273334240,139
BEV,SEA,304001000,1
BEV,SEA,309807000,1
AMS,SEA,308918000,3
BEV,SEA,215724000,1
BEV,BEV,304001000,3
SEA,AMS,236597000,7
AMS,SEA,248370000,5
SEA,BEV,228335900,1
SEA,IJM,246683000,1
SEA,AMS,304036000,2
SEA,AMS,246786000,3
BEV,SEA,209562000,1
AMS,SEA,477547200,1
BEV,BEV,244810690,2
AMS,AMS,304036000,88
BEV,SEA,305188000,1
SEA,BEV,245562000,1
BEV,SEA,275468000,1
AMS,AMS,236597000,117
BEV,BEV,211822000,1
AMS,AMS,244810593,138
