((311000330,2407458),(AMS,2407419,2407488))
((311000330,2407459),(AMS,2407419,2407488))
((311000330,2407460),(AMS,2407419,2407488))
((311000330,2407461),(AMS,2407419,2407488))
((311000330,2407462),(AMS,2407419,2407488))
((311000330,2407463),(AMS,2407419,2407488))
((311000330,2407464),(AMS,2407419,2407488))
((311000330,2407465),(AMS,2407419,2407488))
((311000330,2407466),(AMS,2407419,2407488))
((311000330,2407467),(AMS,2407419,2407488))
((311000330,2407468),(AMS,2407419,2407488))
((311000330,2407469),(AMS,2407419,2407488))
((311000330,2407470),(AMS,2407419,2407488))
((311000330,2407471),(AMS,2407419,2407488))
((311000330,2407472),(AMS,2407419,2407488))
((311000330,2407473),(AMS,2407419,2407488))
((311000330,2407474),(AMS,2407419,2407488))
((311000330,2407475),(AMS,2407419,2407488))
((311000330,2407476),(AMS,2407419,2407488))
((311000330,2407477),(AMS,2407419,2407488))
((311000330,2407478),(AMS,2407419,2407488))
((311000330,2407479),(AMS,2407419,2407488))
((311000330,2407480),(AMS,2407419,2407488))
((311000330,2407481),(AMS,2407419,2407488))
((311000330,2407482),(AMS,2407419,2407488))
((311000330,2407483),(AMS,2407419,2407488))
((311000330,2407484),(AMS,2407419,2407488))
((311000330,2407485),(AMS,2407419,2407488))
((311000330,2407486),(AMS,2407419,2407488))
((311000330,2407487),(AMS,2407419,2407488))
((311000330,2407488),(AMS,2407419,2407488))
((311000343,2407463),(AMS,2407463,2407468))
((311000343,2407464),(AMS,2407463,2407468))
((311000343,2407465),(AMS,2407463,2407468))
((311000343,2407466),(AMS,2407463,2407468))
((311000343,2407467),(AMS,2407463,2407468))
((311000343,2407468),(AMS,2407463,2407468))
((311000343,2407415),(AMS,2407463,2407468))
((311000343,2407416),(AMS,2407463,2407468))
((311000343,2407417),(AMS,2407463,2407468))
((311000343,2407418),(AMS,2407463,2407468))
((311000343,2407419),(AMS,2407463,2407468))
((211627970,2407516),(BEV,2407516,2407518))
((211627970,2407517),(BEV,2407516,2407518))
