257408000,2407316
232449000,2407290
232449000,2407345
636016851,2407322
230007000,2407288
211809000,2407253
245291000,2407381
538090304,2407249
230948000,2407336
246310000,2407284
246310000,2407301
566428000,2407352
249528000,2407303
219116000,2407308
636016199,2407311
477030700,2407282
212848000,2407333
319062200,2407262
273335000,2407331
277330000,2407299
246526000,2407346
246067000,2407277
210523000,2407314
246044000,2407286
244699000,2407299
255805770,2407368
244820145,2407299
212357000,2407354
244590000,2407268
376083000,2407294
212202000,2407363
312786000,2407347
210207000,2407282
355390000,2407254
538002221,2407296
212882000,2407329
304010672,2407250
319086500,2407336
314270000,2407333
319932000,2407337
355305000,2407262
244670918,2407315
236166000,2407342
250515000,2407356
246091000,2407341
220499000,2407320
636017145,2407293
367136710,2407349
566906000,2407292
305989000,2407315
477914600,2407324
355507000,2407379
245433000,2407362
538005893,2407347
538005893,2407361
256381000,2407257
311936000,2407391
246412000,2407250
