BEV,BEV,275468000,66
SEA,BEV,256256000,4
BEV,SEA,236111827,4
AMS,AMS,477547200,433
AMS,AMS,245455000,1201
BEV,BEV,215724000,66
AMS,AMS,245834000,580
AMS,SEA,304625000,35
BEV,BEV,255805776,53
AMS,AMS,564242000,3664
AMS,AMS,304625000,1992
SEA,BEV,246798000,1
SEA,AMS,244810593,4
BEV,BEV,231355000,99
BEV,BEV,341599000,73
SEA,AMS,236112059,10
SEA,BEV,636015205,3
AMS,AMS,357028000,473
SEA,AMS,247604000,2
AMS,AMS,319002500,172
SEA,BEV,304158000,1
BEV,SEA,250001723,3
SEA,BEV,309807000,2
BEV,SEA,341599000,1
BEV,BEV,375203000,4
AMS,SEA,245859000,5
BEV,SEA,256149000,1
AMS,AMS,245147000,2702
BEV,SEA,246873000,5
AMS,AMS,245354000,3132
AMS,SEA,319002500,6
BEV,BEV,205489000,128
SEA,BEV,304010859,2
AMS,SEA,352104000,5
SEA,AMS,244870016,1
AMS,SEA,245834000,4
AMS,SEA,477652600,5
BEV,SEA,255805776,1
SEA,AMS,244041000,7
AMS,SEA,236111791,2
SEA,AMS,564242000,43
AMS,AMS,244670062,1004
SEA,BEV,248811000,1
AMS,AMS,246115000,618
SEA,BEV,304070935,3
BEV,SEA,244810690,1
BEV,BEV,304347000,124
AMS,SEA,244820404,33
SEA,AMS,235060251,4
AMS,AMS,245859000,419
AMS,SEA,246310000,3
SEA,BEV,538001652,2
BEV,SEA,354776000,2
BEV,BEV,309807000,110
AMS,AMS,249005000,5113
SEA,BEV,376121000,1
AMS,SEA,235103762,2
SEA,AMS,352104000,4
SEA,AMS,374846000,5
SEA,AMS,244227000,1
BEV,BEV,250001723,144
AMS,AMS,477820000,559
SEA,BEV,245147000,1
BEV,SEA,538001652,2
SEA,AMS,244710882,1
BEV,BEV,256149000,2
BEV,BEV,256256000,81
SEA,AMS,477652600,5
SEA,BEV,255805776,1
AMS,SEA,341229000,1
BEV,BEV,246067000,99
AMS,AMS,238251000,418
AMS,SEA,249145000,11
AMS,AMS,246786000,378
BEV,BEV,245882000,146
AMS,SEA,238251000,3
SEA,AMS,244805000,1
AMS,AMS,564368000,464
